,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
0,1/02/2021,20.7,28.9,0.8,0.4,6.8,NNE,44,17:26,22.1,86,7,S,7,1016.1,28.3,68,1,ESE,17,1012.3
1,2/02/2021,17.5,25.8,17.4,7.6,5.9,SSW,43,4:49,19.1,87,7,SW,17,1010.5,23.2,60,2,SE,24,1010.5
2,3/02/2021,17.5,25.8,5,7.8,9.3,S,31,9:10,19.4,72,1,SSW,15,1013.7,24.7,56,5,ESE,17,1012.6
3,4/02/2021,17.9,28.9,0,6.8,10.1,NE,48,13:58,21.5,88,6, ,Calm,1013.4,27.7,62,5,NE,30,1010
4,5/02/2021,20.8,28.3,0,8.4,11.2,NE,54,12:25,23.5,84,2,NE,17,1012.1,28.1,71,2,NE,33,1009
5,6/02/2021,21.4,24.6,0,9,1.1,NE,37,23:06,23.6,83,8,NE,11,1004.8,23.1,95,8,NE,13,1002.9
6,7/02/2021,19.4,28.8,1.4,3.4,11.2,SE,43,15:06,21,88,2,WNW,15,1006.4,27.3,60,5,ESE,22,1006.8
7,8/02/2021,20.1,24.2,0.2,8.6,3.6,SSE,37,8:18,20.9,79,6,SE,22,1014,22.9,64,7,S,20,1013.6
8,9/02/2021,19.1,25.8,0,5.4,6.5,SE,37,13:00,21.6,63,7,SE,17,1017.7,23.5,58,4,SSE,20,1016.7
9,10/02/2021,16.6,27.1,2.4,6.4,9.9,SSE,30,0:17,18.7,93,5,WNW,11,1017.7,26.7,55,4,ESE,15,1015.5
10,11/02/2021,17.8,27.9,0.2,9.2,11.9,NNE,46,19:36,20.4,76,1,NW,9,1015.3,27.6,54,1,ENE,28,1011.8
11,12/02/2021,18.9,33.2,0,11,4.6,NNE,50,23:37,21.2,71,8,ENE,7,1008.8,31.6,49,6,N,22,1005
12,13/02/2021,20.2,20.6,15.4,7.4,0,SSE,46,10:42,20.3,99,8,SSW,19,1007.6,20.2,93,8,SSE,26,1009.9
13,14/02/2021,16.8,25.3,14.4,2,11.1,SSE,48,13:14,19,92,3,SSW,19,1016.1,23.4,59,4,S,22,1015.8
14,15/02/2021,18.6,24,0,8,4.1,S,70,16:53,20.5,63,7,S,22,1018.9,23,62,6,SSW,37,1018.6
15,16/02/2021,19,27.5,7.8,5.2,8.7,SE,37,12:32,21.8,88,7,ESE,19,1021.5,26,65,5,ESE,22,1021.6
16,17/02/2021,18.8,27,9.2,7.8,7,ESE,39,13:53,21.3,74,7,SE,20,1023.9,23.9,64,6,ESE,33,1023.8
17,18/02/2021,19.5,25.6,0,6.4,5.2,ESE,39,10:24,22.3,61,1,ESE,20,1024.8,23.1,81,7,ESE,2,1023.6
18,19/02/2021,20.4,29.7,7,6.4,9.7,E,43,23:19,23.7,82,6,E,22,1021.7,26.9,68,5,E,15,1018.5
19,20/02/2021,20.2,29.3,0,6.2,10.7,E,26,14:57,22.5,98,7,WNW,4,1016.7,28.9,72,1,E,13,1013.5
20,21/02/2021,21.4,29.2,0,5.4,11.5,ESE,33,14:49,23.2,91,6,SW,6,1011.5,27.7,64,3,SE,19,1008.8
21,22/02/2021,20.1,29.5,0,5.6,10.7,SSW,57,20:16,22,91,1,WNW,15,1006.8,29,63,1,SSE,28,1005.4
22,23/02/2021,19.8,21.4,0,8.4,0,S,48,16:24,21.3,67,7,SSE,22,1012.5,20.8,60,7,S,26,1014.2
23,24/02/2021,16.5,21.9,30.2,5.6,2.2,SE,41,23:15,18.1,99,6,SW,13,1018,19.8,94,7,S,19,1016.4
24,25/02/2021,17.9,25.8,4.6,2,0.9,E,20,14:48,18.6,97,7,WNW,9,1011.4,23.2,88,8,ESE,7,1010.4
25,26/02/2021,17.8,28,4.2,1.2,10.7,ESE,39,16:06,20.9,95,1,SSW,11,1010.2,27.8,60,1,ESE,22,1009.5
26,27/02/2021,20.1,23.2,0.2,7.6,0,ESE,22,23:11,20.1,90,8,N,2,1014.6,22.5,90,8,ENE,13,1012.4
27,28/02/2021,19.8,28.9,0.2,2.8,10.9,SSW,28,7:17,22.2,88,6,SSW,17,1012.7,28.3,62,1,ESE,19,1010.8
28,1/03/2021,19.8,30.8,0.2,6.4,9.5,SSW,54,22:36,21.5,95,7,W,9,1010.7,30.1,69,1,ENE,22,1005.7
29,2/03/2021,20.1,24.7,0,8.2,7.7,SSW,48,23:41,21.4,78,5,SW,9,1011.5,22,57,5,SSE,26,1012.3
30,3/03/2021,18.1,23.5,0.6,7.6,7.9,S,44,8:23,19,69,8,S,20,1015.7,22.9,59,3,SE,20,1015.2
31,4/03/2021,16,28.7,0.4,6.8,11.3,ENE,33,15:40,17.8,81,1,WNW,15,1015.1,28.2,56,2,ENE,22,1009.3
32,5/03/2021,17.8,25,0.2,8,10.2,SSE,52,10:52,20.1,75,1,WSW,9,1007.4,24.2,52,2,SSE,31,1008.7
33,6/03/2021,17.9,24.8,0,8.4,9.3,SSE,37,16:58,19.9,55,7,S,15,1012.9,22.9,48,1,S,17,1012.3
34,7/03/2021,16.1,27.3,0,7,9.5,NE,37,17:11,18,75,4,W,15,1015.7,26.6,59,5,E,24,1012.3
35,8/03/2021,18,31.2,0,7.6,4.9,WNW,46,16:18,20.9,87,7,WNW,9,1011.9,28.5,56,7,NNW,11,1007.9
36,9/03/2021,19.6,28.8,0,6.2,8.4,SSE,39,12:56,21.8,78,7,WNW,17,1011.4,28.3,63,5,SE,24,1012.1
37,10/03/2021,20.4,27.9,0,6.6,3.6,ENE,33,19:28,21.8,76,5,SE,13,1020.6,27.1,61,6,E,22,1020
38,11/03/2021,20,28.1,0.2,4.2,3.9,E,43,13:02,21.4,91,7,NNE,6,1021.9,24.9,69,7,ENE,24,1019.9
39,12/03/2021,21.4,27.4,1.8,7.8,2.1,NE,44,17:22,22.6,83,7,NNW,9,1018.3,25.5,74,7,ENE,17,1015.6
40,13/03/2021,20.4,29.4,25.6,0.6,10.2,NNE,46,16:56,20.9,99,3,W,7,1015,26.8,74,5,ENE,11,1010.2
41,14/03/2021,19.3,19.3,22.8,10,0,S,57,10:38,19.3,98,8,SSW,24,1012.8,16.7,89,8,SSW,28,1015.8
42,15/03/2021,12.2,24.3,21.6,4,10.8,SSW,41,9:23,14,85,1,W,19,1022.1,23.4,57,1,SSE,20,1021.6
43,16/03/2021,14,21.2,0,6.6,0.3,ESE,46,20:54,17.1,76,8,W,9,1025.7,20.1,85,8,W,6,1023.9
44,17/03/2021,17.1,23.8,13.6,2.4,1.1,ESE,52,15:24,19.9,77,7,SE,24,1025.5,21.9,71,7,ESE,33,1024
45,18/03/2021,18,21.5,9.8,6.2,0,ESE,57,21:14,21.4,78,8,ESE,41,1024.3,19.5,98,8,E,13,1024.1
46,19/03/2021,17.3,25.7,54.4,3.4,1.3,ESE,57,22:52,21.4,78,8,ESE,28,1025.6,22.9,73,7,ESE,28,1024.9
47,20/03/2021,18.3,21.8,47.6,2.8,0,ENE,78,16:10,19.6,100,8,ESE,26,1022.5,19.1,100,8,E,31,1021.1
48,21/03/2021,19,20.3,110.4,,0,E,70,6:47,19.4,94,8,E,44,1024.8,19.1,88,8,ENE,22,1024.1
49,22/03/2021,18,19.9,28.4,4.6,0,E,44,23:12,18,99,8,NNE,22,1023.1,18.9,99,8,ENE,17,1019.6
50,23/03/2021,17.2,20.4,46.8,0.4,0,NE,59,7:49,18.5,100,8,NE,31,1008.5,19.2,100,8,NNE,24,1000.9
51,24/03/2021,17.7,29.2,19.4,1.8,10.7,WNW,46,14:15,20.4,85,1,WNW,15,998.7,29,44,4,WNW,26,997.7
52,25/03/2021,17.1,29.1,0,6.6,9,W,33,20:26,18.9,78,7,SSW,2,1003.4,24,62,6,E,13,1003.3
53,26/03/2021,15.2,26.3,2,6.6,10.3,W,26,23:01,16.8,82,1,WNW,19,1013.7,25.4,57,2,ESE,19,1011.8
54,27/03/2021,16.6,28.5,0.2,4.6,9.8,W,28,5:27,17.8,92,1,WNW,17,1013.8,28,33,3,W,6,1011.2
55,28/03/2021,16.7,27,0,6.8,10.6,ESE,31,13:24,17.7,87,1,WNW,13,1017.6,24.4,54,1,SE,20,1015.6
56,29/03/2021,15.7,26.7,0,6,10.5,ESE,26,15:12,17.1,89,1,WNW,15,1020.2,25.9,56,2,ESE,20,1018.7
57,30/03/2021,16.2,23.3,4.2,7.2,7.1,S,39,16:33,17.4,74,7,SSW,17,1023.8,22.4,49,7,S,20,1022.6
58,31/03/2021,14.4,24.6,7.2,6.2,8.9,SSW,43,11:21,15.5,84,7,W,20,1024.4,23.8,48,1,S,19,1022.9
59,1/04/2021,14.6,27.3,6.6,4.8,9.8,W,26,1:36,15.9,92,1,W,17,1025,26.7,58,2,E,13,1023.2
60,2/04/2021,15.9,27.3,0,2.8,10.8,ESE,20,13:18,17.5,98,3,WNW,15,1026.5,26.3,60,1,ESE,15,1025.7
61,3/04/2021,16,26.9,0,4,10.8,NE,30,12:50,17.3,97,1,WNW,19,1026.2,26.6,58,1,ENE,20,1022.3
62,4/04/2021,16.7,27.3,0,7.2,9.9,NNE,31,16:17,20.4,86,1,WNW,11,1019.8,25,71,6,E,11,1015.8
63,5/04/2021,17.8,28.3,0,5.6,10.2,SSE,31,8:55,23.1,86,2,S,19,1019.5,28.2,64,2,SSE,19,1018.3
64,6/04/2021,19.2,27.5,0.6,3.3,7.7,ESE,31,16:44,22.4,96,2,WNW,9,1021.9,24.3,77,6,ESE,20,1019.8
65,7/04/2021,18.6,26.5,1.2,4.4,6.5,ENE,37,19:12,21.9,98,5,ESE,13,1019.3,23.7,77,7,SE,17,1015.7
66,8/04/2021,18.4,26.8,6.8,3.2,10,N,22,3:06,20.7,99,2,WNW,9,1014,26.7,64,2,E,13,1009.9
67,9/04/2021,17.2,28.8,0,4.8,6.4,SSE,52,18:24,20.2,87,2,W,13,1005.3,28.6,51,1,W,4,1001.5
68,10/04/2021,16.5,24.5,0.2,6.4,8,W,48,20:15,16.9,74,7,W,19,1006.9,23.9,34,1,W,26,1004
69,11/04/2021,13.5,19.7,0,5.8,10.6,W,67,10:04,16.5,42,1,W,31,1009.3,18.5,31,1,WSW,31,1010.2
70,12/04/2021,9.6,20.5,0,6.8,10.9,WSW,37,8:20,13.7,54,1,W,24,1019.4,19.4,36,1,SSE,9,1018.2
