,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Sunshine (hours),Speed of maximum wind gust (km/h),9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
0,2/02/2021,21.4,25.7,19.8,0.0,20.0,21.7,94.0,8,11,1009.3,23.1,88.0,8,2,1007.6,6779.174583333333
1,3/02/2021,20.4,29.1,44.6,8.6,33.0,25.5,65.0,7,13,1011.1,27.9,47.0,7,15,1009.9,6505.792083333331
2,4/02/2021,19.7,30.0,0.2,12.3,24.0,26.9,58.0,2,7,1012.6,28.8,51.0,1,13,1010.1,6617.779583333333
3,5/02/2021,21.0,29.7,0.2,9.2,24.0,26.6,63.0,5,7,1012.1,28.3,57.0,7,11,1009.0,6686.862083333333
4,6/02/2021,21.0,31.1,0.0,12.0,20.0,26.6,62.0,3,4,1009.0,30.0,53.0,3,9,1004.6,6472.277916666666
5,8/02/2021,23.5,29.6,0.6,7.8,37.0,27.6,54.0,6,17,1009.4,27.3,55.0,4,13,1008.0,7154.433333333334
6,9/02/2021,21.8,29.1,0.0,11.0,37.0,26.5,47.0,3,9,1013.7,28.2,46.0,5,15,1010.6,6690.258749999997
7,12/02/2021,20.7,30.1,0.0,8.9,22.0,25.2,61.0,7,2,1014.2,28.1,51.0,4,11,1010.7,6569.933333333333
8,13/02/2021,21.7,30.7,0.0,9.7,28.0,26.5,60.0,6,4,1010.8,28.7,58.0,6,11,1006.6,6395.279583333334
9,14/02/2021,21.8,30.2,1.6,3.0,33.0,24.3,81.0,8,4,1008.8,28.9,53.0,6,9,1006.9,6427.2091666666665
10,16/02/2021,20.7,28.9,0.0,7.9,31.0,26.1,57.0,6,9,1014.5,28.6,51.0,7,7,1012.2,6466.142916666668
11,17/02/2021,19.5,28.6,5.4,10.3,48.0,25.0,63.0,7,9,1016.6,26.6,59.0,5,19,1014.5,6337.939583333333
12,18/02/2021,19.9,27.4,16.6,2.9,33.0,21.1,90.0,7,4,1016.9,26.9,62.0,5,15,1014.6,6517.596874999999
13,19/02/2021,20.8,29.0,12.2,7.2,20.0,23.6,87.0,7,2,1015.2,26.1,76.0,7,9,1011.7,6691.274375
14,20/02/2021,22.2,29.6,0.4,2.8,19.0,25.6,66.0,7,7,1012.4,28.4,56.0,7,4,1008.0,6307.049375000002
15,21/02/2021,22.3,33.7,1.2,10.4,28.0,28.2,57.0,2,11,1005.5,32.5,39.0,3,9,1000.8,6500.957708333332
16,22/02/2021,22.1,33.6,0.0,11.9,37.0,28.8,62.0,1,4,1005.4,31.0,58.0,1,7,1003.1,7260.547083333334
17,23/02/2021,23.3,32.1,8.2,10.7,33.0,28.4,64.0,4,4,1009.9,31.4,39.0,3,11,1006.7,7231.086666666669
18,24/02/2021,20.9,29.8,10.6,7.2,26.0,24.8,78.0,7,7,1014.6,29.0,58.0,3,9,1011.9,6824.3397916666645
19,25/02/2021,22.2,28.7,16.8,5.7,22.0,22.9,92.0,7,Calm,1013.9,28.2,65.0,6,11,1010.3,6898.839999999999
20,26/02/2021,22.5,31.8,0.2,11.9,20.0,27.6,62.0,1,4,1011.4,30.4,54.0,1,9,1008.4,7081.1277083333325
21,27/02/2021,23.2,30.8,0.0,4.9,19.0,28.0,63.0,7,2,1012.5,28.7,63.0,7,7,1010.3,6727.071249999998
22,28/02/2021,24.1,31.4,4.0,6.2,20.0,27.3,71.0,7,2,1012.3,29.2,58.0,7,9,1009.4,6770.522291666665
23,1/03/2021,24.1,29.6,0.0,0.2,11.0,26.3,75.0,8,4,1010.7,29.1,60.0,8,6,1008.4,7134.006458333333
24,2/03/2021,22.1,33.2,0.0,10.8,33.0,27.9,64.0,3,6,1009.7,31.4,54.0,3,9,1006.1,7060.223958333332
25,3/03/2021,22.5,26.5,6.2,3.1,28.0,24.4,78.0,8,6,1012.1,24.9,66.0,7,11,1010.1,6855.423958333336
26,4/03/2021,20.1,26.7,0.6,3.1,33.0,21.8,79.0,8,6,1013.2,25.7,57.0,5,13,1010.6,6479.555208333334
27,6/03/2021,20.9,28.5,0.0,8.7,26.0,26.4,58.0,7,9,1009.9,25.8,56.0,7,15,1008.8,6126.532916666664
28,7/03/2021,21.1,28.4,0.0,8.2,26.0,24.7,68.0,6,Calm,1015.9,26.9,60.0,1,15,1012.7,6132.168124999997
29,8/03/2021,21.8,29.6,0.0,8.8,30.0,27.3,58.0,4,9,1017.3,27.9,63.0,5,9,1012.8,6723.164583333332
30,9/03/2021,21.3,30.4,25.6,7.9,22.0,24.3,79.0,7,4,1016.0,30.2,60.0,2,6,1012.3,6772.5475000000015
31,10/03/2021,20.8,30.6,0.0,9.6,31.0,25.2,68.0,3,6,1018.4,29.8,54.0,3,13,1015.6,6805.477083333334
32,11/03/2021,22.3,28.5,0.0,1.5,26.0,25.9,71.0,7,Calm,1020.2,23.0,85.0,8,6,1018.5,6839.242499999999
33,12/03/2021,20.6,28.0,0.8,7.9,24.0,25.4,70.0,3,2,1019.7,26.0,66.0,7,9,1017.1,6639.910624999998
34,14/03/2021,21.5,30.8,0.2,10.8,28.0,26.4,66.0,2,2,1014.6,29.3,54.0,2,13,1010.8,6353.866458333331
35,16/03/2021,19.1,25.4,12.4,0.0,30.0,22.4,74.0,8,4,1020.2,21.5,79.0,8,6,1018.8,6469.179999999999
36,17/03/2021,18.9,22.3,11.6,0.0,19.0,19.7,91.0,8,Calm,1019.2,20.8,86.0,8,6,1016.7,6387.35625
37,18/03/2021,19.4,27.8,15.4,2.6,22.0,22.1,83.0,7,4,1017.0,27.1,60.0,7,7,1014.2,6274.576666666667
38,20/03/2021,21.9,28.6,20.8,1.2,24.0,23.6,87.0,8,9,1017.6,27.1,68.0,7,4,1014.7,6211.904791666668
39,22/03/2021,21.1,23.2,125.0,0.0,20.0,22.0,91.0,8,Calm,1018.5,21.8,94.0,8,6,1014.8,6712.645833333336
40,23/03/2021,21.4,27.8,52.6,0.0,28.0,23.2,95.0,7,7,1010.9,24.9,88.0,8,9,1005.3,6798.612291666665
41,24/03/2021,21.4,30.9,21.4,8.3,37.0,27.4,69.0,6,7,1004.3,30.3,48.0,2,15,1001.7,6710.970208333332
42,25/03/2021,16.7,31.1,0.0,11.4,35.0,25.5,54.0,1,4,1007.7,30.7,30.0,1,13,1004.7,6277.005833333335
43,26/03/2021,19.1,30.5,0.0,11.0,22.0,25.6,44.0,0,6,1013.3,27.8,46.0,2,11,1010.5,6228.474791666665
44,27/03/2021,20.4,29.8,0.0,10.1,20.0,25.2,67.0,1,4,1015.4,28.8,54.0,1,9,1011.7,6013.317291666667
45,28/03/2021,18.9,30.7,0.0,9.2,20.0,25.4,55.0,1,6,1016.9,29.5,36.0,7,4,1013.2,5785.106458333333
46,29/03/2021,19.8,30.0,0.0,10.0,24.0,25.2,61.0,2,4,1017.9,27.0,55.0,1,11,1014.7,6368.557916666665
47,30/03/2021,19.9,26.3,0.0,3.5,33.0,22.7,65.0,6,9,1019.7,24.1,66.0,7,9,1017.9,6295.944583333333
48,31/03/2021,17.3,27.1,0.0,9.4,28.0,22.9,56.0,2,6,1020.3,24.9,49.0,4,11,1017.8,6074.709375000001
49,1/04/2021,18.0,26.2,0.0,5.7,31.0,23.6,57.0,6,7,1020.9,23.4,68.0,7,4,1018.8,6035.253124999998
50,2/04/2021,17.9,26.6,2.8,8.8,41.0,23.7,59.0,2,11,1022.5,24.1,53.0,7,17,1021.0,5499.421458333334
51,3/04/2021,20.5,25.4,0.0,1.2,33.0,22.6,70.0,7,7,1021.6,22.5,80.0,7,9,1019.0,5707.526041666668
52,4/04/2021,19.6,22.5,8.4,0.0,20.0,20.7,92.0,8,2,1019.6,21.4,91.0,8,4,1016.4,5945.106458333333
53,7/04/2021,19.6,27.5,20.6,6.5,30.0,22.4,86.0,7,9,1013.0,27.4,57.0,6,13,1008.8,6280.849999999999
54,9/04/2021,18.3,30.6,0.0,10.6,19.0,23.9,63.0,0,4,1009.3,30.3,45.0,2,6,1004.6,6115.780208333336
55,11/04/2021,18.3,29.2,0.0,7.4,30.0,22.5,57.0,7,4,1010.7,29.0,30.0,1,11,1008.3,5747.382291666665
56,12/04/2021,13.2,24.6,0.2,10.0,26.0,18.9,39.0,1,9,1018.0,23.6,49.0,1,9,1016.1,5776.761874999999
57,13/04/2021,14.7,24.9,0.0,10.7,20.0,21.4,52.0,1,6,1021.9,23.2,42.0,2,9,1018.9,5852.660833333335
58,14/04/2021,13.6,26.3,0.0,10.8,19.0,19.5,64.0,1,6,1020.7,25.4,47.0,1,6,1016.7,5892.535208333332
59,15/04/2021,15.0,28.4,0.0,10.9,19.0,20.6,69.0,0,6,1017.6,26.6,49.0,1,7,1014.0,5930.254166666668
60,16/04/2021,17.1,30.5,0.0,10.0,28.0,22.5,63.0,1,2,1017.6,27.5,52.0,3,9,1015.2,6016.174999999999
