,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h),9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
0,1/02/2021,13.4,20.3,0.0,7.4,1.6,33.0,16.9,76.0,7.0,7,1012.8,19.4,69,7.0,13,1011.9,4672.764375000001
1,2/02/2021,14.5,19.3,0.0,3.0,3.4,41.0,16.7,56.0,7.0,15,1016.5,18.2,47,7.0,20,1017.3,4421.937083333333
2,3/02/2021,13.7,25.9,0.0,5.4,13.1,33.0,16.5,66.0,5.0,11,1016.5,24.1,44,2.0,7,1011.1,4422.983541666666
3,4/02/2021,13.5,30.6,0.0,6.6,4.1,43.0,17.3,72.0,7.0,7,1005.5,29.2,32,7.0,28,1002.7,4956.165000000002
4,7/02/2021,14.7,19.2,1.8,5.6,2.0,37.0,15.5,89.0,7.0,7,1011.5,17.4,69,7.0,17,1013.7,3827.575208333334
5,8/02/2021,15.0,19.2,0.4,4.0,1.7,35.0,15.9,59.0,7.0,13,1017.5,18.5,60,7.0,17,1017.6,4342.011041666667
6,9/02/2021,12.0,25.2,0.0,4.0,12.7,28.0,16.9,71.0,4.0,11,1018.4,23.3,50,1.0,13,1014.5,4460.038333333334
7,10/02/2021,13.8,31.5,0.0,7.4,11.6,30.0,17.2,77.0,1.0,7,1015.1,28.3,43,2.0,15,1010.5,5198.151666666668
8,11/02/2021,17.2,32.8,0.0,8.0,5.5,46.0,24.3,58.0,6.0,9,1008.7,31.8,31,7.0,22,1004.5,5621.671041666666
9,12/02/2021,17.4,23.3,4.6,12.2,5.6,28.0,17.5,67.0,7.0,11,1006.0,21.8,51,4.0,9,1005.3,4752.275000000001
10,13/02/2021,14.7,20.8,0.0,6.0,4.9,35.0,17.2,68.0,6.0,6,1012.8,20.3,58,7.0,15,1014.8,4048.62875
11,15/02/2021,14.4,24.6,0.0,5.6,9.2,22.0,17.0,73.0,7.0,9,1022.0,23.0,54,7.0,11,1019.6,4462.179791666668
12,16/02/2021,15.9,31.3,0.0,6.2,8.3,33.0,20.2,67.0,7.0,9,1021.6,30.2,32,5.0,7,1019.2,5106.738333333334
13,17/02/2021,16.6,28.8,0.0,7.4,11.9,26.0,20.1,73.0,4.0,7,1021.7,27.1,52,1.0,7,1020.3,5389.209999999998
14,18/02/2021,18.1,31.8,0.0,11.4,12.4,46.0,22.9,44.0,0.0,26,1022.6,30.0,32,1.0,9,1019.2,5539.094583333333
