,Date,Minimum temperature (C),Rainfall (mm),Speed of maximum wind gust (km/h),9am cloud amount (oktas),3pm MSL pressure (hPa),avg_demand
0,1/02/2021,22.5,1.4,31.0,5,1010.3,6654.541250000001
1,2/02/2021,21.4,19.8,20.0,8,1007.6,6779.174583333333
2,4/02/2021,19.7,0.2,24.0,2,1010.1,6617.779583333333
3,5/02/2021,21.0,0.2,24.0,5,1009.0,6686.862083333333
4,7/02/2021,23.0,0.0,20.0,7,1001.3,6939.544999999999
5,9/02/2021,21.8,0.0,37.0,3,1010.6,6690.258749999997
6,11/02/2021,19.9,0.0,22.0,3,1012.0,6531.450416666666
7,13/02/2021,21.7,0.0,28.0,6,1006.6,6395.279583333334
8,15/02/2021,20.7,0.2,33.0,2,1011.1,6635.55
9,16/02/2021,20.7,0.0,31.0,6,1012.2,6466.142916666668
10,17/02/2021,19.5,5.4,48.0,7,1014.5,6337.939583333333
11,18/02/2021,19.9,16.6,33.0,7,1014.6,6517.596874999999
12,19/02/2021,20.8,12.2,20.0,7,1011.7,6691.274375
13,20/02/2021,22.2,0.4,19.0,7,1008.0,6307.049375000002
14,21/02/2021,22.3,1.2,28.0,2,1000.8,6500.957708333332
15,22/02/2021,22.1,0.0,37.0,1,1003.1,7260.547083333334
16,23/02/2021,23.3,8.2,33.0,4,1006.7,7231.086666666669
17,24/02/2021,20.9,10.6,26.0,7,1011.9,6824.3397916666645
18,25/02/2021,22.2,16.8,22.0,7,1010.3,6898.839999999999
19,26/02/2021,22.5,0.2,20.0,1,1008.4,7081.1277083333325
20,27/02/2021,23.2,0.0,19.0,7,1010.3,6727.071249999998
21,28/02/2021,24.1,4.0,20.0,7,1009.4,6770.522291666665
22,1/03/2021,24.1,0.0,11.0,8,1008.4,7134.006458333333
23,2/03/2021,22.1,0.0,33.0,3,1006.1,7060.223958333332
24,5/03/2021,18.0,0.0,19.0,1,1003.4,6352.982291666666
25,6/03/2021,20.9,0.0,26.0,7,1008.8,6126.532916666664
26,7/03/2021,21.1,0.0,26.0,6,1012.7,6132.168124999997
27,8/03/2021,21.8,0.0,30.0,4,1012.8,6723.164583333332
28,9/03/2021,21.3,25.6,22.0,7,1012.3,6772.5475000000015
29,10/03/2021,20.8,0.0,31.0,3,1015.6,6805.477083333334
30,12/03/2021,20.6,0.8,24.0,3,1017.1,6639.910624999998
31,15/03/2021,22.5,6.6,19.0,7,1015.7,6790.267708333334
32,16/03/2021,19.1,12.4,30.0,8,1018.8,6469.179999999999
33,17/03/2021,18.9,11.6,19.0,8,1016.7,6387.35625
34,18/03/2021,19.4,15.4,22.0,7,1014.2,6274.576666666667
35,19/03/2021,20.7,0.0,19.0,6,1014.2,6413.967083333332
36,21/03/2021,22.0,1.0,26.0,7,1015.7,6252.814791666667
37,22/03/2021,21.1,125.0,20.0,8,1014.8,6712.645833333336
38,23/03/2021,21.4,52.6,28.0,7,1005.3,6798.612291666665
39,24/03/2021,21.4,21.4,37.0,6,1001.7,6710.970208333332
40,25/03/2021,16.7,0.0,35.0,1,1004.7,6277.005833333335
41,26/03/2021,19.1,0.0,22.0,0,1010.5,6228.474791666665
42,27/03/2021,20.4,0.0,20.0,1,1011.7,6013.317291666667
43,28/03/2021,18.9,0.0,20.0,1,1013.2,5785.106458333333
44,29/03/2021,19.8,0.0,24.0,2,1014.7,6368.557916666665
45,30/03/2021,19.9,0.0,33.0,6,1017.9,6295.944583333333
46,1/04/2021,18.0,0.0,31.0,6,1018.8,6035.253124999998
47,2/04/2021,17.9,2.8,41.0,2,1021.0,5499.421458333334
48,4/04/2021,19.6,8.4,20.0,8,1016.4,5945.106458333333
49,5/04/2021,20.1,9.4,30.0,8,1013.3,6076.717916666668
50,6/04/2021,20.9,45.4,37.0,8,1013.1,6422.030208333333
51,8/04/2021,19.2,0.0,26.0,7,1005.7,6182.795416666667
52,9/04/2021,18.3,0.0,19.0,0,1004.6,6115.780208333336
53,10/04/2021,17.7,0.0,28.0,1,1004.7,5908.993541666666
54,11/04/2021,18.3,0.0,30.0,7,1008.3,5747.382291666665
55,12/04/2021,13.2,0.2,26.0,1,1016.1,5776.761874999999
56,13/04/2021,14.7,0.0,20.0,1,1018.9,5852.660833333335
