,Date,Evaporation (mm),Sunshine (hours),9am Temperature (C),9am relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
0,1/02/2021,7.4,1.6,16.9,76.0,13.0,1011.9,4672.764375000001
1,2/02/2021,3.0,3.4,16.7,56.0,20.0,1017.3,4421.937083333333
2,3/02/2021,5.4,13.1,16.5,66.0,7.0,1011.1,4422.983541666666
3,4/02/2021,6.6,4.1,17.3,72.0,28.0,1002.7,4956.165000000002
4,5/02/2021,7.8,8.9,24.1,62.0,24.0,997.5,5018.571875
5,8/02/2021,4.0,1.7,15.9,59.0,17.0,1017.6,4342.011041666667
6,10/02/2021,7.4,11.6,17.2,77.0,15.0,1010.5,5198.151666666668
7,11/02/2021,8.0,5.5,24.3,58.0,22.0,1004.5,5621.671041666666
8,12/02/2021,12.2,5.6,17.5,67.0,9.0,1005.3,4752.275000000001
9,13/02/2021,6.0,4.9,17.2,68.0,15.0,1014.8,4048.62875
10,14/02/2021,4.0,8.1,17.8,56.0,19.0,1019.3,3876.2691666666674
11,15/02/2021,5.6,9.2,17.0,73.0,11.0,1019.6,4462.179791666668
12,17/02/2021,7.4,11.9,20.1,73.0,7.0,1020.3,5389.209999999998
13,19/02/2021,8.0,12.4,24.4,44.0,22.0,1013.4,5734.008749999998
14,20/02/2021,13.6,5.9,22.2,77.0,11.0,1011.4,5051.690416666666
15,21/02/2021,6.0,0.0,18.1,87.0,13.0,1010.6,4410.144791666665
16,22/02/2021,2.8,6.3,17.8,71.0,17.0,1012.5,4399.628125
17,23/02/2021,7.2,8.5,16.4,49.0,17.0,1019.4,4373.738541666668
18,24/02/2021,5.0,9.9,15.3,55.0,19.0,1017.8,4524.771458333334
19,26/02/2021,7.0,6.3,14.7,64.0,17.0,1014.1,4490.582916666665
20,27/02/2021,6.0,1.0,13.5,71.0,9.0,1012.8,4310.460833333334
21,28/02/2021,2.4,9.2,14.0,77.0,9.0,1010.0,4061.615208333333
22,1/03/2021,6.4,6.3,16.6,72.0,15.0,1012.2,4485.196875000001
23,3/03/2021,4.4,2.1,15.2,62.0,13.0,1019.8,4698.976458333332
24,4/03/2021,4.0,2.6,15.3,60.0,7.0,1015.3,4692.825625
25,5/03/2021,4.4,3.6,15.8,55.0,20.0,1015.7,4540.915416666666
26,6/03/2021,5.6,10.0,15.2,57.0,17.0,1014.1,3921.035833333335
27,7/03/2021,6.0,7.9,13.7,82.0,7.0,1008.2,4129.282500000002
28,8/03/2021,6.0,0.0,17.4,88.0,4.0,1010.3,4472.384375000001
29,9/03/2021,0.2,6.9,14.2,93.0,15.0,1018.0,4657.092291666668
30,10/03/2021,6.8,7.2,15.5,81.0,11.0,1019.5,4634.328333333334
31,11/03/2021,5.0,4.6,15.0,86.0,9.0,1016.2,4893.706666666666
32,13/03/2021,9.6,0.3,24.5,52.0,6.0,1010.4,4447.935208333335
33,17/03/2021,2.8,9.9,16.2,86.0,9.0,1022.7,4758.3360416666665
34,19/03/2021,5.2,6.1,16.1,88.0,11.0,1025.2,4710.929583333333
35,20/03/2021,5.4,5.3,16.7,90.0,13.0,1024.3,4157.6518750000005
