,Date,Minimum temperature (C),Evaporation (mm),9am relative humidity (%),9am cloud amount (oktas),3pm relative humidity (%),3pm wind speed (km/h),avg_demand
0,1/02/2021,20.7,0.4,86,7.0,68,17,7839.838333333332
1,2/02/2021,17.5,7.6,87,7.0,60,24,7393.213749999999
2,3/02/2021,17.5,7.8,72,1.0,56,17,7237.238750000001
3,4/02/2021,17.9,6.8,88,6.0,62,30,7831.148541666666
4,5/02/2021,20.8,8.4,84,2.0,71,33,8198.975833333332
5,6/02/2021,21.4,9.0,83,8.0,95,13,7417.680208333338
6,7/02/2021,19.4,3.4,88,2.0,60,22,6954.139583333333
7,9/02/2021,19.1,5.4,63,7.0,58,20,7407.967291666668
8,11/02/2021,17.8,9.2,76,1.0,54,28,7565.787916666667
9,12/02/2021,18.9,11.0,71,8.0,49,22,8061.384791666666
10,13/02/2021,20.2,7.4,99,8.0,93,26,7241.781041666665
11,14/02/2021,16.8,2.0,92,3.0,59,22,6457.113541666667
12,15/02/2021,18.6,8.0,63,7.0,62,37,7124.523125000002
13,16/02/2021,19.0,5.2,88,7.0,65,22,7380.897291666667
14,17/02/2021,18.8,7.8,74,7.0,64,33,7350.403124999998
15,19/02/2021,20.4,6.4,82,6.0,68,15,7831.220833333333
16,20/02/2021,20.2,6.2,98,7.0,72,13,7494.003541666668
17,21/02/2021,21.4,5.4,91,6.0,64,19,7510.852916666668
18,22/02/2021,20.1,5.6,91,1.0,63,28,8117.609999999998
19,23/02/2021,19.8,8.4,67,7.0,60,26,7537.720416666667
20,27/02/2021,20.1,7.6,90,8.0,90,13,7182.225208333336
21,28/02/2021,19.8,2.8,88,6.0,62,19,7099.947499999999
22,1/03/2021,19.8,6.4,95,7.0,69,22,8533.461666666668
23,2/03/2021,20.1,8.2,78,5.0,57,26,7487.192708333333
24,3/03/2021,18.1,7.6,69,8.0,59,20,7286.490208333332
25,4/03/2021,16.0,6.8,81,1.0,56,22,7274.426666666667
26,5/03/2021,17.8,8.0,75,1.0,52,31,7167.193958333333
27,6/03/2021,17.9,8.4,55,7.0,48,17,6610.969583333334
28,7/03/2021,16.1,7.0,75,4.0,59,24,6540.380208333335
29,8/03/2021,18.0,7.6,87,7.0,56,11,7707.994999999999
30,9/03/2021,19.6,6.2,78,7.0,63,24,7651.438125000001
31,11/03/2021,20.0,4.2,91,7.0,69,24,7843.896875000003
32,12/03/2021,21.4,7.8,83,7.0,74,17,7846.689375000002
33,13/03/2021,20.4,0.6,99,3.0,74,11,7625.361249999999
34,14/03/2021,19.3,10.0,98,8.0,89,28,7074.620416666668
35,15/03/2021,12.2,4.0,85,1.0,57,20,6940.243333333335
36,17/03/2021,17.1,2.4,77,7.0,71,33,7430.172916666667
37,18/03/2021,18.0,6.2,78,8.0,98,13,7703.078750000001
38,19/03/2021,17.3,3.4,78,8.0,73,28,7473.735208333332
39,20/03/2021,18.3,2.8,100,8.0,100,31,7212.509791666665
40,21/03/2021,19.0,5.856,94,8.0,88,22,7126.95
41,22/03/2021,18.0,4.6,99,8.0,99,17,7730.009166666668
42,23/03/2021,17.2,0.4,100,8.0,100,24,7830.55875
43,25/03/2021,17.1,6.6,78,7.0,62,13,7232.385833333331
44,26/03/2021,15.2,6.6,82,1.0,57,19,7015.648750000003
45,27/03/2021,16.6,4.6,92,1.0,33,6,6602.299583333334
46,28/03/2021,16.7,6.8,87,1.0,54,20,6428.718124999999
47,29/03/2021,15.7,6.0,89,1.0,56,20,7174.510416666668
48,30/03/2021,16.2,7.2,74,7.0,49,20,7122.368958333335
49,31/03/2021,14.4,6.2,84,7.0,48,19,7113.137291666669
50,2/04/2021,15.9,2.8,98,3.0,60,15,6490.208333333333
51,6/04/2021,19.2,3.3,96,2.0,77,20,7567.621875000002
52,7/04/2021,18.6,4.4,98,5.0,77,17,7579.323958333334
53,8/04/2021,18.4,3.2,99,2.0,64,13,7495.619999999999
54,9/04/2021,17.2,4.8,87,2.0,51,4,7336.792083333335
55,10/04/2021,16.5,6.4,74,7.0,34,26,6608.749166666666
56,11/04/2021,13.5,5.8,42,1.0,31,31,6367.694791666669
57,12/04/2021,9.6,6.8,54,1.0,36,9,7172.522083333333
58,13/04/2021,10.3,4.0,71,1.0,53,20,7244.021041666668
59,15/04/2021,16.3,6.4,51,1.0,31,4,7171.652083333332
60,16/04/2021,15.7,6.4,50,5.0,60,24,7303.76875
61,18/04/2021,10.9,4.0,86,4.0,58,11,6694.444583333333
62,20/04/2021,11.2,4.0,67,2.0,46,11,7364.601874999999
63,21/04/2021,14.1,5.2,54,1.0,45,22,7404.424791666665
64,22/04/2021,10.3,6.0,63,1.0,33,17,7595.551041666663
65,24/04/2021,10.5,4.0,72,3.0,53,15,7000.101250000003
66,26/04/2021,11.9,3.4,86,1.0,58,11,7381.283750000002
67,28/04/2021,13.9,4.0,87,6.0,63,13,7507.583124999998
68,29/04/2021,12.8,2.6,90,0.0,63,19,7530.759791666667
69,30/04/2021,13.0,3.6,94,6.0,67,19,7534.488958333332
70,1/05/2021,14.3,3.2,97,2.0,76,17,6985.442083333334
71,2/05/2021,14.8,0.4,98,7.0,72,20,6861.878333333331
72,3/05/2021,13.8,4.0,100,6.0,64,13,7401.447916666668
73,4/05/2021,15.1,4.0,85,8.0,94,9,8070.974791666668
74,6/05/2021,15.3,3.6,98,7.0,91,17,7881.227083333335
75,7/05/2021,17.8,1.8,96,7.0,77,22,7618.825208333333
76,9/05/2021,16.2,4.4,71,7.0,72,4,6990.896458333335
77,10/05/2021,13.7,2.2,87,0.0,41,20,7446.081249999998
78,11/05/2021,15.1,3.2,84,3.0,61,22,7805.091458333335
79,12/05/2021,12.8,3.0,86,4.0,69,15,7726.873541666669
80,13/05/2021,13.3,3.4,91,1.0,50,6,7619.355833333335
81,14/05/2021,13.2,4.0,50,1.0,36,28,7569.600208333334
82,15/05/2021,10.5,5.2,65,5.0,38,28,7641.002916666665
83,16/05/2021,7.8,5.2,58,1.0,27,13,7600.074791666666
84,18/05/2021,8.7,4.0,74,1.0,46,13,8405.777916666668
85,19/05/2021,8.5,3.4,81,0.0,61,13,8419.033958333335
86,20/05/2021,8.6,2.8,78,4.0,40,15,8316.318750000002
87,21/05/2021,10.0,2.8,84,7.0,81,7,8676.293749999999
88,22/05/2021,9.0,0.4,87,2.0,58,11,7739.874583333333
89,24/05/2021,12.5,1.2,100,4.0,86,4,8168.434583333331
90,25/05/2021,12.9,5.0,99,5.0,59,17,7927.058958333332
91,26/05/2021,14.4,0.4,60,1.0,34,19,7834.943541666665
92,27/05/2021,9.9,6.2,58,0.0,41,24,8273.886458333334
93,28/05/2021,10.1,4.0,63,1.0,33,26,8477.937083333334
94,29/05/2021,8.6,6.0,61,5.0,55,24,8404.982708333337
95,30/05/2021,9.9,2.8,70,7.0,76,13,8090.639791666668
96,31/05/2021,9.6,2.4,71,1.0,52,11,8488.177083333334
97,1/06/2021,8.6,2.8,95,6.0,48,6,8728.148333333333
