,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
0,1/02/2021,13.4,20.3,0,7.4,1.6,S,33,21:08,16.9,76,7,N,7,1012.8,19.4,69,7,S,13,1011.9
1,2/02/2021,14.5,19.3,0,3,3.4,SSW,41,14:52,16.7,56,7,S,15,1016.5,18.2,47,7,SSW,20,1017.3
2,3/02/2021,13.7,25.9,0,5.4,13.1,SE,33,16:58,16.5,66,5,SSE,11,1016.5,24.1,44,2,SE,7,1011.1
3,4/02/2021,13.5,30.6,0,6.6,4.1,NNW,43,12:58,17.3,72,7,NE,7,1005.5,29.2,32,7,N,28,1002.7
4,5/02/2021,17.3,29.8,0.4,7.8,8.9,NNW,52,10:27,24.1,62,7,NNE,19,1000.5,25.9,63,7,NNE,24,997.5
5,6/02/2021,16.9,25.4,1.6,9,9.5,NW,39,11:44,18.6,59,7,N,17,998.5,23.7,45,7,NW,11,999.5
6,7/02/2021,14.7,19.2,1.8,5.6,2,SSW,37,11:23,15.5,89,7,W,7,1011.5,17.4,69,7,S,17,1013.7
7,8/02/2021,15,19.2,0.4,4,1.7,SW,35,13:14,15.9,59,7,SSE,13,1017.5,18.5,60,7,S,17,1017.6
8,9/02/2021,12,25.2,0,4,12.7,SSW,28,14:00,16.9,71,4,SSE,11,1018.4,23.3,50,1,SSW,13,1014.5
9,10/02/2021,13.8,31.5,0,7.4,11.6,NNW,30,11:22,17.2,77,1,NNE,7,1015.1,28.3,43,2,SSW,15,1010.5
10,11/02/2021,17.2,32.8,0,8,5.5,N,46,12:20,24.3,58,6,NNE,9,1008.7,31.8,31,7,N,22,1004.5
11,12/02/2021,17.4,23.3,4.6,12.2,5.6,SSW,28,4:17,17.5,67,7,WSW,11,1006,21.8,51,4,SW,9,1005.3
12,13/02/2021,14.7,20.8,0,6,4.9,S,35,14:54,17.2,68,6,W,6,1012.8,20.3,58,7,S,15,1014.8
13,14/02/2021,12.7,20,0,4,8.1,SSW,35,13:52,17.8,56,7,SE,9,1019.5,19.3,58,6,SSW,19,1019.3
14,15/02/2021,14.4,24.6,0,5.6,9.2,SSE,22,7:37,17,73,7,SSE,9,1022,23,54,7,SSW,11,1019.6
15,16/02/2021,15.9,31.3,0,6.2,8.3,N,33,9:27,20.2,67,7,NE,9,1021.6,30.2,32,5,ENE,7,1019.2
16,17/02/2021,16.6,28.8,0,7.4,11.9,SSW,26,14:37,20.1,73,4,NE,7,1021.7,27.1,52,1,SW,7,1020.3
17,18/02/2021,18.1,31.8,0,11.4,12.4,N,46,8:26,22.9,44,0,N,26,1022.6,30,32,1,NNE,9,1019.2
18,19/02/2021,18.2,32.6,0,8,12.4,N,43,9:32,24.4,44,1,N,15,1017.3,31.2,33,3,N,22,1013.4
19,20/02/2021,20.3,23.8,0,13.6,5.9,SSW,33,16:51,22.2,77,7, ,Calm,1013.2,22,76,4,SSW,11,1011.4
20,21/02/2021,17.9,20.6,0,6,0,S,30,20:43,18.1,87,8,ESE,6,1011.4,19,75,8,SSW,13,1010.6
21,22/02/2021,15.9,21.8,0,2.8,6.3,SSW,43,15:24,17.8,71,7,WSW,9,1012.3,20.4,52,7,S,17,1012.5
22,23/02/2021,13.1,19.2,0,7.2,8.5,SSE,43,5:09,16.4,49,6,SSE,15,1018.7,18.2,45,4,SSW,17,1019.4
23,24/02/2021,13,20.2,0,5,9.9,S,35,13:42,15.3,55,7,ESE,9,1020.5,18.5,53,7,SSW,19,1017.8
24,25/02/2021,11.3,24.3,0,5.8,8.7,SSW,39,19:08,13.4,72,7,E,4,1012.8,23.4,37,2,W,11,1009.1
