,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h),9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
0,2/02/2021,17.5,25.8,17.4,7.6,5.9,43.0,19.1,87,7.0,17,1010.5,23.2,60,2,24,1010.5,7393.213749999999
1,3/02/2021,17.5,25.8,5.0,7.8,9.3,31.0,19.4,72,1.0,15,1013.7,24.7,56,5,17,1012.6,7237.238750000001
2,4/02/2021,17.9,28.9,0.0,6.8,10.1,48.0,21.5,88,6.0,Calm,1013.4,27.7,62,5,30,1010.0,7831.148541666666
3,5/02/2021,20.8,28.3,0.0,8.4,11.2,54.0,23.5,84,2.0,17,1012.1,28.1,71,2,33,1009.0,8198.975833333332
4,6/02/2021,21.4,24.6,0.0,9.0,1.1,37.0,23.6,83,8.0,11,1004.8,23.1,95,8,13,1002.9,7417.680208333338
5,7/02/2021,19.4,28.8,1.4,3.4,11.2,43.0,21.0,88,2.0,15,1006.4,27.3,60,5,22,1006.8,6954.139583333333
6,8/02/2021,20.1,24.2,0.2,8.6,3.6,37.0,20.9,79,6.0,22,1014.0,22.9,64,7,20,1013.6,7496.513750000001
7,9/02/2021,19.1,25.8,0.0,5.4,6.5,37.0,21.6,63,7.0,17,1017.7,23.5,58,4,20,1016.7,7407.967291666668
8,12/02/2021,18.9,33.2,0.0,11.0,4.6,50.0,21.2,71,8.0,7,1008.8,31.6,49,6,22,1005.0,8061.384791666666
9,13/02/2021,20.2,20.6,15.4,7.4,0.0,46.0,20.3,99,8.0,19,1007.6,20.2,93,8,26,1009.9,7241.781041666665
10,14/02/2021,16.8,25.3,14.4,2.0,11.1,48.0,19.0,92,3.0,19,1016.1,23.4,59,4,22,1015.8,6457.113541666667
11,15/02/2021,18.6,24.0,0.0,8.0,4.1,70.0,20.5,63,7.0,22,1018.9,23.0,62,6,37,1018.6,7124.523125000002
12,16/02/2021,19.0,27.5,7.8,5.2,8.7,37.0,21.8,88,7.0,19,1021.5,26.0,65,5,22,1021.6,7380.897291666667
13,17/02/2021,18.8,27.0,9.2,7.8,7.0,39.0,21.3,74,7.0,20,1023.9,23.9,64,6,33,1023.8,7350.403124999998
14,18/02/2021,19.5,25.6,0.0,6.4,5.2,39.0,22.3,61,1.0,20,1024.8,23.1,81,7,2,1023.6,7428.805208333335
15,19/02/2021,20.4,29.7,7.0,6.4,9.7,43.0,23.7,82,6.0,22,1021.7,26.9,68,5,15,1018.5,7831.220833333333
16,20/02/2021,20.2,29.3,0.0,6.2,10.7,26.0,22.5,98,7.0,4,1016.7,28.9,72,1,13,1013.5,7494.003541666668
17,21/02/2021,21.4,29.2,0.0,5.4,11.5,33.0,23.2,91,6.0,6,1011.5,27.7,64,3,19,1008.8,7510.852916666668
18,22/02/2021,20.1,29.5,0.0,5.6,10.7,57.0,22.0,91,1.0,15,1006.8,29.0,63,1,28,1005.4,8117.609999999998
19,24/02/2021,16.5,21.9,30.2,5.6,2.2,41.0,18.1,99,6.0,13,1018.0,19.8,94,7,19,1016.4,7456.550416666668
20,25/02/2021,17.9,25.8,4.6,2.0,0.9,20.0,18.6,97,7.0,9,1011.4,23.2,88,8,7,1010.4,7666.077499999999
21,26/02/2021,17.8,28.0,4.2,1.2,10.7,39.0,20.9,95,1.0,11,1010.2,27.8,60,1,22,1009.5,7497.079583333332
22,27/02/2021,20.1,23.2,0.2,7.6,0.0,22.0,20.1,90,8.0,2,1014.6,22.5,90,8,13,1012.4,7182.225208333336
